0 33 Move(dir='r', i=3, n=1) Move(dir='r', i=4, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=4, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=4, n=4) Move(dir='r', i=1, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=4, n=3) Move(dir='r', i=0, n=4) Move(dir='r', i=4, n=1) Move(dir='c', i=4, n=4) Move(dir='r', i=1, n=1) 
1 27 Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=4, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=4, n=4) Move(dir='c', i=3, n=4) Move(dir='r', i=0, n=4) Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=4) Move(dir='c', i=0, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=4, n=1) 
2 35 Move(dir='c', i=1, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=4, n=1) Move(dir='c', i=3, n=4) Move(dir='c', i=4, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=4) Move(dir='r', i=2, n=4) Move(dir='c', i=0, n=4) Move(dir='r', i=2, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) 
3 38 Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=4, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=1, n=1) Move(dir='r', i=4, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=4, n=1) Move(dir='r', i=4, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=1, n=4) Move(dir='r', i=4, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=2) 
4 38 Move(dir='c', i=0, n=4) Move(dir='c', i=1, n=1) Move(dir='r', i=0, n=4) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=1, n=4) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=4, n=1) Move(dir='r', i=1, n=4) 
5 30 Move(dir='r', i=4, n=3) Move(dir='r', i=0, n=4) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=4) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=4) Move(dir='r', i=1, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=4, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=4, n=4) Move(dir='c', i=3, n=4) Move(dir='c', i=2, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=4) 
6 26 Move(dir='r', i=0, n=4) Move(dir='c', i=4, n=2) Move(dir='c', i=1, n=4) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='c', i=4, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=2, n=1) Move(dir='c', i=4, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=4, n=2) Move(dir='r', i=4, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=1) 
7 37 Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=4) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=1) 
8 34 Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='r', i=4, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=4) Move(dir='c', i=4, n=3) Move(dir='c', i=1, n=4) Move(dir='c', i=4, n=1) Move(dir='r', i=0, n=4) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=1) Move(dir='c', i=2, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=1) 
9 33 Move(dir='c', i=0, n=3) Move(dir='r', i=4, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=4) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=4) Move(dir='c', i=2, n=4) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=1, n=4) Move(dir='c', i=0, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=2) 
10 29 Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=4) Move(dir='c', i=4, n=1) Move(dir='r', i=4, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=2) Move(dir='c', i=4, n=4) Move(dir='c', i=2, n=4) Move(dir='c', i=2, n=4) Move(dir='c', i=4, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=4) Move(dir='c', i=0, n=1) Move(dir='r', i=0, n=4) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=4, n=2) 
11 30 Move(dir='c', i=3, n=1) Move(dir='c', i=4, n=4) Move(dir='r', i=4, n=1) Move(dir='c', i=0, n=2) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=1, n=4) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=1, n=4) Move(dir='c', i=2, n=4) Move(dir='r', i=0, n=2) Move(dir='r', i=4, n=3) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=4) Move(dir='r', i=1, n=3) Move(dir='r', i=4, n=1) Move(dir='c', i=4, n=3) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=1) 
12 33 Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=4) Move(dir='c', i=0, n=2) Move(dir='c', i=4, n=4) Move(dir='c', i=2, n=1) Move(dir='c', i=1, n=4) Move(dir='c', i=3, n=4) Move(dir='r', i=4, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=4) Move(dir='r', i=4, n=3) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=1) 
13 42 Move(dir='r', i=1, n=2) Move(dir='r', i=1, n=1) Move(dir='r', i=4, n=4) Move(dir='c', i=1, n=3) Move(dir='c', i=4, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=1, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=4) Move(dir='c', i=1, n=2) Move(dir='c', i=4, n=3) Move(dir='c', i=3, n=4) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=4) Move(dir='r', i=3, n=4) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=4) Move(dir='r', i=4, n=1) Move(dir='r', i=3, n=4) 
